id,routing_bucket,name,label,price,entering,exit,inside,outside,owned,rental,room_menu,ipls,purchased,parking_spots
1,1,MirrorPark1,"1001 West Mirror Drive",0,"{"x":997.12, "y":-729.44, "z":58.29}","{"x":1004.78, "y":-725.33, "z":-99.20}","{"x":1004.78, "y":-725.33,"z":-99.20}","{"x":997.12, "y":-729.44,"z":58.29}",1,0,"{"x":987.47,"y":-734.38,"z":-99.2}",[],1,0
2,2,MirrorPark2,"1002 West Mirror Drive",0,"{"x":979.13, "y":-716.24,"z":-58.22}","{"x":981.75, "y":-714.44,"z":-99.2}","{"x":981.75, "y":-714.44,"z":-99.2}","{"x":979.13, "y":-716.24,"z":58.22}",0,0,"{"x":976.68,"y":-721.6,"z":58.02}",[],1,0
3,3,MirrorPark3,"1003 West Mirror Drive",0,"{"x":970.81, "y":-701.47,"z":58.48}","{"x":1057.56, "y":-447.87, "z":-139.06}","{"x":1057.56, "y":-447.87, "z":-139.06}","{"x":970.81, "y":-701.47,"z":58.48}",1,0,"{"x":1055.67, "y":-457.03, "z":-138.93}",[],1,0
4,4,MirrorPark4,"1004 West Mirror Drive",0,"{"x":943.33, "y":-653.27,"z":58.43}","{"x":941.94, "y":-649.17,"z":-99.20}","{"x":941.94, "y":-649.17,"z":-99.20}","{"x":943.33, "y":-653.27,"z":58.43}",0,0,"{"x":924.23,"y":-658.58,"z":-99.2}",[],1,0
5,5,MirrorPark5,"1005 West Mirror Drive",0,"{"x":886.83, "y":-608.15,"z":58.45}","{"x":891.94, "y":-595.40,"z":-99.20}","{"x":891.94, "y":-595.40,"z":-99.20}","{"x":886.83, "y":-608.15,"z":58.45}",0,0,"{"x":875.08,"y":-606.28,"z":-99.2}",[],1,0
6,6,MirrorPark6,"1006 West Mirror Drive",0,"{"x":861.69, "y":-583.57,"z":58.16}","{"x":864.49, "y":-581.21,"z":-99.20}","{"x":864.49, "y":-581.21,"z":-99.20}","{"x":861.69, "y":-583.57,"z":58.16}",0,0,"{"x":848.69, "y":-593.58,"z":-99.20}",[],1,0
7,7,MirrorPark7,"1007 West Mirror Drive",0,"{"x":844.11, "y":-562.56,"z":57.99}","{"x":851.53, "y":-557.16,"z":-99.20}","{"x":851.53, "y":-557.16,"z":-99.20}","{"x":844.11, "y":-562.56,"z":57.99}",1,0,"{"x":831.46, "y":-556.42,"z":-99.20}",[],1,0
8,8,MirrorPark8,"1008 West Mirror Drive",0,"{"x":861.51, "y":-508.90,"z":57.72}","{"x":867.42, "y":-517.41,"z":-99.20}","{"x":867.42, "y":-517.41,"z":-99.20}","{"x":861.51, "y":-508.90,"z":57.72}",1,0,"{"x":856.49, "y":-500.53,"z":-99.20}",[],1,0
9,9,MirrorPark9,"1009 West Mirror Drive",0,"{"x":944.48, "y":-463.16,"z":61.55}","{"x":933.32, "y":-464.28,"z":-99.20}","{"x":933.32, "y":-464.28,"z":-99.20}","{"x":944.48, "y":-463.16,"z":61.55}",1,0,"{"x":913.77, "y":-468.71,"z":-99.20}",[],1,0
10,10,MirrorPark10,"1010 West Mirror Drive",0,"{"x":987.43, "y":-432.92,"z":64.05}","{"x":1057.56, "y":-447.87, "z":-139.06}","{"x":1057.56, "y":-447.87, "z":-139.06}","{"x":987.43, "y":-432.92,"z":64.05}",0,0,"{"x":1057.76, "y":-450.18, "z":-139.08}",[],1,0
11,11,MirrorPark11,"1011 West Mirror Drive",0,"{"x":1028.82, "y":-408.31,"z":66.34}","{"x":1031.58, "y":-412.64,"z":-99.20}","{"x":1031.58, "y":-412.64,"z":-99.20}","{"x":1028.82, "y":-408.31,"z":66.34}",0,0,"{"x":1022.20, "y":-394.92,"z":-99.20}",[],1,0
12,12,MirrorPark12,"1012 Bridge Street",0,"{"x":1090.51, "y":-484.40,"z":65.66}","{"x":1086.06, "y":-488.79,"z":-99.20}","{"x":1086.06, "y":-488.79,"z":-99.20}","{"x":1090.51, "y":-484.40,"z":65.66}",0,0,"{"x":1104.66, "y":-496.33,"z":-99.20}",[],1,0
13,13,MirrorPark13,"1013 East Mirror Drive",0,"{"x":1229.57, "y":-725.43,"z":60.96}","{"x":1218.59, "y":-724.82,"z":-99.20}","{"x":1218.59, "y":-724.82,"z":-99.20}","{"x":1229.57, "y":-725.43,"z":60.96}",1,0,"{"x":1238.52, "y":-727.30,"z":-99.20}",[],1,0
14,14,MirrorPark14,"1014 East Mirror Drive",0,"{"x":1201.02, "y":-575.58,"z":69.14}","{"x":1198.42, "y":-578.86,"z":-99.20}","{"x":1198.42, "y":-578.86,"z":-99.20}","{"x":1201.02, "y":-575.58,"z":69.14}",0,0,"{"x":1218.07, "y":-583.09,"z":-99.20}",[],1,0
15,1,Downtown1,"4 Integrity Way, Apt 28",0,"{"x":-44.37, "y":-585.90,"z":38.16}","{"x":-31.51, "y":-595.04,"z":80.03}","{"x":-31.51, "y":-595.04,"z":80.03}","{"x":-44.41, "y":-587.39,"z":38.16}",0,0,"{"x":-38.24,"y":-589.55,"z":78.83}",[],0,0
16,1,Downtown2,"4 Integrity Way, Apt 30",0,"{"x":-44.37, "y":-585.90,"z":38.16}","{"x":-18.42, "y":-591.33,"z":90.11}","{"x":-18.42, "y":-591.33,"z":90.11}","{"x":-43.48, "y":-584.75,"z":38.16}",1,0,"{"x":-37.67,"y":-583.75,"z":83.92}",[],1,0
17,0,DelPerro1,"Dell Perro Heights, Apt 4",0,"{"x":-1448.12, "y":-537.68,"z":34.74}","{"x":-1452.25, "y":-540.68,"z":74.04}","{"x":-1452.25, "y":-540.68,"z":74.04}","{"x":-1447.71, "y":-537.33,"z":34.74}",1,0,"{"x":-1450.27,"y":-549.47,"z":72.84}",[],1,0
18,0,DelPerro2,"Dell Perro Heights, Apt 7",0,"{"x":-1447.23, "y":-537.19,"z":34.74}","{"x":-1450.07, "y":-525.73,"z":56.93}","{"x":-1450.07, "y":-525.73,"z":56.93}","{"x":-1447.71, "y":-537.33,"z":34.74}",1,0,"{"x":-1467.58,"y":-537.21,"z":50.73}",[],1,0
19,0,RichardMajestic2,"Richard Majestic, Apt 2",0,"{"x":-932.88, "y":-383.65,"z":38.96}","{"x":-912.43, "y":-365.11,"z":114.27}","{"x":-912.43, "y":-365.11,"z":114.27}","{"x":-932.88, "y":-383.65,"z":38.96}",1,0,"{"x":-903.70,"y":-364.06,"z":113.07}",[],1,0
23,26,RockfordHills5,"EclipseTowers, Apt 6",0,"{"x":-770.12, "y":319.62,"z":85.66}","{"x":-773.55, "y":342.11,"z":196.69}","{"x":-773.55, "y":331.08,"z":179.74}","{"x":-776.88, "y":319.67,"z":85.66}",1,0,"{"x":-763.24, "y":329.30,"z":199.49}",[],1,0
24,0,WestVinewood1,"Tinsel Towers, Apt 42",0,"{"x":-614.54, "y":46.58,"z":43.59}","{"x":-602.91, "y":58.91,"z":98.20}","{"x":-602.91, "y":58.91,"z":98.20}","{"x":-614.54, "y":46.58,"z":43.59}",0,0,"{"x":-594.65,"y":56.17,"z":97.00}",[],0,0
25,0,VineWoodHills1,"3655 Wild Oats Drive",0,"{"x":-173.87, "y":502.49,"z":137.42}","{"x":-174.28, "y":497.84,"z":137.65}","{"x":-174.28, "y":497.84,"z":137.65}","{"x":-173.87, "y":502.49,"z":137.42}",0,0,"{"x":-167.45, "y":487.82,"z":133.84}",[],1,0
26,0,VineWoodHills2,"2862 Hillcrest Avenue",0,"{"x":-685.10, "y":595.24,"z":144.04}","{"x":-682.42, "y":592.70,"z":145.38}","{"x":-682.42, "y":592.70,"z":145.38}","{"x":-685.10, "y":595.24,"z":144.04}",0,0,"{"x":-671.59, "y":587.37,"z":141.57}",[],1,0
